timestamp,barca,value,current_percent
2025-12-17T22:14:44.236107+00:00,Altcoins,36435.579655965346,21.98840727636141
2025-12-17T22:14:44.236107+00:00,Caixa,29575.535324886652,17.848458080824013
2025-12-17T22:14:44.236107+00:00,RendaPassiva,17979.47924839164,10.850386245077823
2025-12-17T22:14:44.236107+00:00,Base,81712.99311123337,49.31274839773672
2025-12-17T22:16:15.052053+00:00,RendaPassiva,17979.3246247702,10.75154958046117
2025-12-17T22:16:15.052053+00:00,Altcoins,37973.97903449065,22.708256671345215
2025-12-17T22:16:15.052053+00:00,Caixa,29574.928360459064,17.685664797885973
2025-12-17T22:16:15.052053+00:00,Base,81697.19432667455,48.854528950307504
2025-12-17T22:19:13.932262+00:00,RendaPassiva,18005.220043809237,10.751970547446874
2025-12-17T22:19:13.932262+00:00,Altcoins,38045.35236636787,22.719106298902144
2025-12-17T22:19:13.932262+00:00,Caixa,29578.59421647758,17.663109535825836
2025-12-17T22:19:13.932262+00:00,Base,81830.55588983512,48.86581361782519
2025-12-17T22:22:20.710880+00:00,Altcoins,38053.00023896313,22.726293450114547
2025-12-17T22:22:20.710880+00:00,Base,81814.25674311628,48.86171380629451
2025-12-17T22:22:20.710880+00:00,Caixa,29573.33014033557,17.662002334791367
2025-12-17T22:22:20.710880+00:00,RendaPassiva,17999.828634301055,10.74999040879954
2025-12-17T22:22:39.839110+00:00,Base,81814.25674311628,48.86171380629451
2025-12-17T22:22:39.839110+00:00,Altcoins,38053.00023896311,22.726293450114532
2025-12-17T22:22:39.839110+00:00,Caixa,29573.33014033557,17.662002334791367
2025-12-17T22:22:39.839110+00:00,RendaPassiva,17999.82863430106,10.749990408799542
2025-12-17T22:44:34.053519+00:00,RendaPassiva,18011.216504986212,10.75467641778602
2025-12-17T22:44:34.053519+00:00,Caixa,29580.35900239957,17.662726407440662
2025-12-17T22:44:34.053519+00:00,Altcoins,38006.33490173133,22.693960376356078
2025-12-17T22:44:34.053519+00:00,Base,81875.43611760272,48.88863679841718
2025-12-17T22:45:58.718432+00:00,Caixa,29575.903150763217,17.65551105296555
2025-12-17T22:45:58.718432+00:00,Base,81848.75648222177,48.86010132563141
2025-12-17T22:45:58.718432+00:00,Altcoins,38085.75482817565,22.735517556360378
2025-12-17T22:45:58.718432+00:00,RendaPassiva,18006.136388243594,10.748870065042672
2025-12-17T22:46:03.953335+00:00,Caixa,29575.903150763217,17.65551105296555
2025-12-17T22:46:03.953335+00:00,Base,81848.75648222177,48.86010132563141
2025-12-17T22:46:03.953335+00:00,Altcoins,38085.75482817567,22.735517556360385
2025-12-17T22:46:03.953335+00:00,RendaPassiva,18006.13638824359,10.748870065042668
2025-12-17T22:46:29.363080+00:00,Base,81848.75648222177,48.86010132563141
2025-12-17T22:46:29.363080+00:00,Altcoins,38085.75482817567,22.735517556360385
2025-12-17T22:46:29.363080+00:00,Caixa,29575.903150763217,17.65551105296555
2025-12-17T22:46:29.363080+00:00,RendaPassiva,18006.13638824359,10.748870065042668
2025-12-17T22:47:33.666107+00:00,Caixa,29577.277350460216,17.651336467403393
2025-12-17T22:47:33.666107+00:00,Altcoins,38098.306991414174,22.736576716498043
2025-12-17T22:47:33.666107+00:00,Base,81875.7101737151,48.862364566539824
2025-12-17T22:47:33.666107+00:00,RendaPassiva,18012.659664766084,10.749722249558733
2025-12-17T22:49:49.611843+00:00,Altcoins,38082.95427817669,22.737700401407782
2025-12-17T22:49:49.611843+00:00,Caixa,29571.1786235153,17.65568383026709
2025-12-17T22:49:49.611843+00:00,RendaPassiva,18002.669887097076,10.748622896433996
2025-12-17T22:49:49.611843+00:00,Base,81831.34951274638,48.85799287189117
2025-12-17T22:50:27.170964+00:00,RendaPassiva,18004.472122670642,10.749071438728782
2025-12-17T22:50:27.170964+00:00,Caixa,29574.676417707982,17.65674147096714
2025-12-17T22:50:27.170964+00:00,Base,81836.22425876143,48.85805120193514
2025-12-17T22:50:27.170964+00:00,Altcoins,38082.5569085435,22.736135888368846
2025-12-17T22:50:58.155343+00:00,Base,81836.22425876143,48.85805120193514
2025-12-17T22:50:58.155343+00:00,Caixa,29574.676417707982,17.65674147096714
2025-12-17T22:50:58.155343+00:00,Altcoins,38082.5569085435,22.736135888368846
2025-12-17T22:50:58.155343+00:00,RendaPassiva,18004.47212267064,10.74907143872878
2025-12-17T22:52:22.701984+00:00,Caixa,29577.90890868091,17.65230159183393
2025-12-17T22:52:22.701984+00:00,Base,81877.68583148893,48.865171922774984
2025-12-17T22:52:22.701984+00:00,Altcoins,38088.84989766944,22.731690321840908
2025-12-17T22:52:22.701984+00:00,RendaPassiva,18013.925894215507,10.750836163550147
2025-12-17T23:06:07.590574+00:00,Base,81917.56944622601,48.862791191851905
2025-12-17T23:06:07.590574+00:00,Caixa,29572.318772783034,17.63951307419987
2025-12-17T23:06:07.590574+00:00,Altcoins,38141.141185851586,22.75070696288914
2025-12-17T23:06:07.590574+00:00,RendaPassiva,18017.12872959767,10.746988771059124
2025-12-17T23:06:28.104436+00:00,Caixa,29572.318772783034,17.63951307419987
2025-12-17T23:06:28.104436+00:00,Altcoins,38141.14118585159,22.750706962889144
2025-12-17T23:06:28.104436+00:00,RendaPassiva,18017.128729597665,10.74698877105912
2025-12-17T23:06:28.104436+00:00,Base,81917.56944622601,48.862791191851905
2025-12-17T23:32:21.378179+00:00,Altcoins,37983.05099851519,22.71174489025415
2025-12-17T23:32:21.378179+00:00,Caixa,29573.95979229702,17.683577610011906
2025-12-17T23:32:21.378179+00:00,Base,81697.21717209037,48.85037683594034
2025-12-17T23:32:21.378179+00:00,RendaPassiva,17985.458736881243,10.754300663793636
2025-12-17T23:34:56.308658+00:00,Caixa,29573.457685657555,17.683188436026306
2025-12-17T23:34:56.308658+00:00,RendaPassiva,17986.137417127447,10.754652383362536
2025-12-17T23:34:56.308658+00:00,Base,81695.54327613264,48.84913024005345
2025-12-17T23:34:56.308658+00:00,Altcoins,37985.389496739466,22.7130289405577
2025-12-17T23:38:20.298804+00:00,Altcoins,37908.28624044965,22.6758763280803
2025-12-17T23:38:20.298804+00:00,RendaPassiva,17988.32067694674,10.760205102203948
2025-12-17T23:38:20.298804+00:00,Base,81703.54597027683,48.87320656586994
2025-12-17T23:38:20.298804+00:00,Caixa,29574.361966716544,17.690712003845825
2025-12-17T23:45:35.530517+00:00,Caixa,29576.588922805127,17.66637585633868
2025-12-17T23:45:35.530517+00:00,Altcoins,38037.14555430943,22.71994622566367
2025-12-17T23:45:35.530517+00:00,RendaPassiva,18004.33269242424,10.754157932718291
2025-12-17T23:45:35.530517+00:00,Base,81799.34296210993,48.859519985279256
2025-12-18T02:12:18.104486+00:00,Caixa,29575.863578464734,17.664507629101646
2025-12-18T02:12:18.104486+00:00,Altcoins,37944.512804591126,22.66277480422563
2025-12-18T02:12:18.104486+00:00,RendaPassiva,18013.533666553183,10.75877977445099
2025-12-18T02:12:18.104486+00:00,Base,81897.10019683291,48.91393779222161
2025-12-18T02:12:20.472003+00:00,Caixa,29575.863578464734,17.664507629101646
